pattern,replacement,comment
-,-,
",",",",
:,:,
\.,\.,
\?,\?,
…,…,
˙,˙,
°,°,
ь,',
ö,e̮,
а,a,
ӓ,ä,
б,b,
в,v,
г,g,
д,d,
е,e,
ж,ž,
з,z,
и,i,
й,j,
к,k,
л,l,
м,m,
н',ń,
н,n,
о,o,
ӧ,e̮,
п,p,
р,r,
с',ś,
с,s,
т,t,
у,u,
ӱ,y,
ф,f,
ч,ć,
ш,š,
щ,ščš,
ы,i̮,
э,e,
